Date,Grid_ID,label,source_id
2024-01-01,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-02,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-03,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-04,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-05,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-06,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-07,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-08,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-09,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-10,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-11,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-12,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-13,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-14,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-15,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-16,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-17,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-18,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-19,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-20,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-21,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-22,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-23,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-24,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-25,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-26,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-27,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-28,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-29,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-30,PUNE_G001,1,FAKE_SYNTHETIC
2024-01-31,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-01,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-02,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-03,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-04,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-05,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-06,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-07,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-08,PUNE_G001,1,FAKE_SYNTHETIC
2024-02-09,PUNE_G001,1,FAKE_SYNTHETIC
